bag_number,shipped_at
B32230H29PA,nil
B32230NAY27,nil
B32240XNBQD,nil
B322D06DFNG,nil
B322D0WANNW,nil
B322G0TVCBP,nil
B322J09GB2K,nil
B322R0GR6YP,nil
B322T0YM4DQ,nil
B322V034QHX,nil
B322Y0T4XJB,nil
B323B0JJCHQ,nil
B323F03WDFE,nil
B323J0ME4AD,nil
B323N04WJFT,nil
B323R0FREGK,nil
B324206NHR3,nil
B32460GRM6Q,nil
B32470X633W,nil
B3249054GA3,nil
B324B0KK3YQ,nil
B324G0QPTR2,nil
B324N0J2FX5,nil
B325309PVJ6,nil
B325607P9MD,nil
B325B0FJ49T,nil
B325B0NEQQ3,nil
B325C0F3J3R,nil
B325C0METKE,nil
B325H0XHP79,nil
B325Q0KWHY9,nil
B325V096R3Y,nil
B325V0GK796,nil
B32670FWH5G,nil
B32670HPYTF,nil
B326B0ET6NH,nil
B326F0WJ62A,nil
B326N07WCNV,nil
B326T07PXQ9,nil
B326W0TMCXY,nil
B32740VNME7,nil
B32770DXMHW,nil
B327A0DFNT7,nil
B327D06RPFR,nil
B327D0QQRRB,nil
B327F0RDJ4Q,nil
B327K0M23CY,nil
B327N0AYEYM,nil
B327Q0BVEFH,nil
B327T0MP2EP,nil
B327V0GCBQF,nil
B327W0NFTTW,nil
B327X0FPN7H,nil
B327Y0GYGDT,nil
B329605TK4V,nil
B32960FEXM7,nil
B329A0F3DNV,nil
B329C0KT4BM,nil
B329C0Q4DKR,nil
B329E06NGBC,nil
B329F0VW5BP,nil
B329M0PDBQ5,nil
B329R0TGMHD,nil
B329T0ANED7,nil
B329V0CJ327,nil
B32AG0FHYXR,nil
B32AM05Q6AN,2024-10-24 17:22:00 UTC
B32AM0N3P5K,nil
B32AW03F9D7,nil
B32B20TCDTR,nil
B32BA0YVFTK,nil
B32BD0D4J96,nil
B32BF07KPQQ,nil
B32BF0EJAPD,nil
B32BG0DPTEB,nil
B32BQ0B349T,nil
B32BV0RRMF3,nil
B32CC0PWK9A,nil
B32CE0PXX9P,nil
B32CP0HPQGP,nil
B32CR066VE4,nil
B32DA0GJVVX,nil
B32DB029WBR,nil
B32DD0V4D5M,nil
B32DF06R9VT,nil
B32DF0BBNFH,nil
